Device_Type,Region,Base_Lifespan,Current_Age_Years,Usage_Hours_Per_Day,Dust_Index,Humidity_Index,Temperature_Stress,Power_Outage_Freq,Maintenance_Frequency,Actual_Total_Lifespan,Remaining_Useful_Life,Is_Failed
Hard Disk / SSD,Pune/Nashik,5,0.55,9.9,0.64,0.62,0.54,Medium,Rare,2.57,2.02,0
Hard Disk / SSD,Konkan/Mumbai,5,1.39,4.5,0.57,0.79,0.5,Low,Annual,4.58,3.19,0
Monitor,Konkan/Mumbai,7,2.77,6.6,0.32,0.89,0.74,High,Rare,4.35,1.58,0
Motherboard,Pune/Nashik,8,1.37,5.8,0.7,0.42,0.64,Low,Biannual,6.93,5.56,0
Monitor,Vidarbha/Marathwada,7,4.91,9.9,0.68,0.25,0.73,Low,Annual,5.27,0.36,0
Motherboard,Konkan/Mumbai,8,5.29,2.7,0.48,0.76,0.66,Medium,Biannual,6.66,1.37,0
Monitor,Konkan/Mumbai,7,5.0,4.1,0.51,0.8,0.66,High,Rare,5.49,0.49,0
Smartphone,Konkan/Mumbai,4,0.52,7.9,0.31,0.74,0.79,Medium,Rare,2.57,2.05,0
Printer,Konkan/Mumbai,5,4.81,5.6,0.39,0.78,0.69,Low,Rare,3.81,0.0,1
Router / Switch,Pune/Nashik,6,4.11,7.0,0.68,0.58,0.47,Medium,Annual,4.55,0.44,0
Motherboard,Konkan/Mumbai,8,4.59,3.0,0.3,0.81,0.76,Medium,Rare,4.85,0.26,0
Printer,Vidarbha/Marathwada,5,5.1,5.4,0.72,0.43,0.83,Medium,Annual,4.62,0.0,1
Hard Disk / SSD,Pune/Nashik,5,2.44,3.1,0.49,0.48,0.46,Medium,Annual,4.93,2.49,0
Keyboard,Pune/Nashik,4,2.75,9.4,0.53,0.47,0.66,High,Rare,2.22,0.0,1
Motherboard,Konkan/Mumbai,8,1.75,9.9,0.41,0.85,0.65,High,Biannual,3.88,2.13,0
Projector,Pune/Nashik,5,2.78,6.6,0.43,0.5,0.46,Medium,Rare,3.29,0.51,0
Keyboard,Pune/Nashik,4,1.87,2.3,0.52,0.6,0.42,Medium,Rare,3.32,1.45,0
Projector,Konkan/Mumbai,5,3.31,7.6,0.57,0.99,0.52,Medium,Annual,3.47,0.16,0
Computer,Vidarbha/Marathwada,6,2.37,8.2,0.82,0.35,0.75,High,Rare,2.55,0.18,0
Router / Switch,Konkan/Mumbai,6,4.33,3.0,0.39,0.98,0.55,Low,Rare,5.45,1.12,0
Router / Switch,Vidarbha/Marathwada,6,0.96,9.1,0.8,0.35,0.83,High,Rare,2.78,1.82,0
Motherboard,Konkan/Mumbai,8,5.86,7.9,0.35,0.87,0.57,Medium,Biannual,5.25,0.0,1
Motherboard,Pune/Nashik,8,1.93,9.7,0.68,0.47,0.67,Medium,Biannual,4.59,2.66,0
Projector,Vidarbha/Marathwada,5,1.17,6.4,0.87,0.34,0.87,Medium,Annual,3.99,2.82,0
Printer,Konkan/Mumbai,5,3.95,8.4,0.35,0.94,0.68,Medium,Biannual,4.29,0.34,0
Hard Disk / SSD,Vidarbha/Marathwada,5,3.52,5.4,0.8,0.41,0.72,Low,Rare,3.77,0.25,0
Router / Switch,Pune/Nashik,6,3.32,2.9,0.57,0.68,0.67,High,Rare,4.44,1.12,0
Keyboard,Konkan/Mumbai,4,1.33,8.4,0.35,0.9,0.61,Medium,Annual,2.85,1.52,0
Keyboard,Pune/Nashik,4,0.9,4.8,0.54,0.7,0.67,Medium,Biannual,4.47,3.57,0
Motherboard,Vidarbha/Marathwada,8,0.17,9.3,0.76,0.36,0.71,Low,Annual,4.99,4.82,0
Computer,Vidarbha/Marathwada,6,1.82,5.6,0.81,0.29,0.72,High,Rare,2.96,1.14,0
Motherboard,Vidarbha/Marathwada,8,0.2,5.8,0.87,0.22,0.75,Low,Rare,5.32,5.12,0
Motherboard,Vidarbha/Marathwada,8,4.32,4.2,0.94,0.49,0.91,Low,Rare,5.33,1.01,0
Router / Switch,Vidarbha/Marathwada,6,5.77,5.4,0.81,0.22,0.95,Low,Annual,5.18,0.0,1
Mouse,Pune/Nashik,3,0.24,5.8,0.52,0.47,0.63,Low,Biannual,2.82,2.58,0
Motherboard,Konkan/Mumbai,8,1.2,9.8,0.57,0.87,0.62,Medium,Rare,3.16,1.96,0
Keyboard,Vidarbha/Marathwada,4,2.72,2.5,0.79,0.23,0.91,Medium,Rare,3.78,1.06,0
Computer,Konkan/Mumbai,6,0.13,8.7,0.51,0.91,0.77,High,Rare,2.65,2.52,0
Projector,Pune/Nashik,5,2.93,7.7,0.69,0.58,0.53,Medium,Annual,3.9,0.97,0
Projector,Konkan/Mumbai,5,3.22,9.8,0.42,0.71,0.76,High,Rare,2.64,0.0,1
Mouse,Pune/Nashik,3,2.6,5.9,0.64,0.45,0.45,High,Rare,2.12,0.0,1
Router / Switch,Konkan/Mumbai,6,2.81,8.1,0.5,0.93,0.76,Medium,Biannual,4.04,1.23,0
Projector,Vidarbha/Marathwada,5,1.64,9.7,0.63,0.35,0.94,Low,Rare,2.92,1.28,0
Projector,Konkan/Mumbai,5,4.1,2.7,0.48,0.7,0.69,Medium,Rare,4.08,0.0,1
Projector,Vidarbha/Marathwada,5,2.49,8.6,0.8,0.47,0.96,Medium,Rare,2.67,0.18,0
Motherboard,Pune/Nashik,8,0.32,7.0,0.55,0.46,0.5,Medium,Rare,4.27,3.95,0
Smartphone,Vidarbha/Marathwada,4,1.86,4.0,0.95,0.27,0.7,Medium,Annual,3.76,1.9,0
Projector,Pune/Nashik,5,3.55,4.3,0.48,0.5,0.52,High,Annual,4.34,0.79,0
Smartphone,Konkan/Mumbai,4,3.47,3.8,0.32,0.87,0.8,Medium,Rare,3.16,0.0,1
Computer,Konkan/Mumbai,6,3.11,8.0,0.52,0.71,0.63,Medium,Annual,3.82,0.71,0
Printer,Pune/Nashik,5,2.47,6.2,0.57,0.65,0.41,High,Biannual,4.89,2.42,0
Monitor,Vidarbha/Marathwada,7,1.96,7.5,0.76,0.27,0.74,High,Rare,4.63,2.67,0
Smartphone,Pune/Nashik,4,2.24,7.2,0.64,0.53,0.66,Medium,Rare,2.91,0.67,0
Computer,Konkan/Mumbai,6,1.53,9.2,0.52,0.86,0.6,High,Annual,3.59,2.06,0
Keyboard,Pune/Nashik,4,3.45,6.9,0.41,0.41,0.56,Medium,Rare,3.14,0.0,1
Router / Switch,Vidarbha/Marathwada,6,1.65,5.3,0.77,0.48,0.92,Low,Rare,4.85,3.2,0
Motherboard,Pune/Nashik,8,0.65,7.7,0.69,0.6,0.64,Low,Biannual,6.27,5.62,0
Projector,Konkan/Mumbai,5,0.88,7.6,0.57,0.84,0.67,Low,Rare,3.33,2.45,0
Hard Disk / SSD,Vidarbha/Marathwada,5,0.89,7.9,0.85,0.45,0.91,Medium,Rare,2.6,1.71,0
Router / Switch,Vidarbha/Marathwada,6,0.71,6.8,0.88,0.28,0.8,Medium,Rare,3.58,2.87,0
Computer,Vidarbha/Marathwada,6,2.19,7.5,0.94,0.4,0.75,Medium,Biannual,4.11,1.92,0
Mouse,Pune/Nashik,3,0.19,9.1,0.69,0.64,0.66,Medium,Rare,1.92,1.73,0
Projector,Pune/Nashik,5,2.59,9.2,0.42,0.59,0.54,Medium,Rare,2.66,0.07,0
Router / Switch,Vidarbha/Marathwada,6,3.13,8.0,0.62,0.5,0.71,Low,Rare,3.9,0.77,0
Keyboard,Vidarbha/Marathwada,4,0.66,9.9,0.65,0.36,0.8,Medium,Biannual,2.76,2.1,0
Printer,Pune/Nashik,5,1.86,7.9,0.56,0.63,0.55,High,Biannual,4.06,2.2,0
Monitor,Pune/Nashik,7,4.71,3.9,0.66,0.67,0.56,Medium,Biannual,7.11,2.4,0
Printer,Pune/Nashik,5,1.94,9.5,0.57,0.44,0.56,High,Rare,3.09,1.15,0
Keyboard,Pune/Nashik,4,1.6,4.0,0.49,0.7,0.53,Low,Rare,3.13,1.53,0
Hard Disk / SSD,Konkan/Mumbai,5,0.12,7.2,0.37,0.98,0.68,Low,Rare,2.83,2.71,0
Computer,Pune/Nashik,6,0.01,5.8,0.56,0.47,0.69,High,Rare,3.24,3.23,0
Projector,Vidarbha/Marathwada,5,3.04,9.6,0.91,0.43,0.74,High,Biannual,3.49,0.45,0
Monitor,Vidarbha/Marathwada,7,2.17,7.3,0.69,0.39,0.83,Low,Biannual,6.49,4.32,0
Projector,Pune/Nashik,5,2.95,9.4,0.51,0.57,0.57,Medium,Rare,2.85,0.0,1
Monitor,Pune/Nashik,7,6.94,3.6,0.42,0.48,0.44,Medium,Annual,7.24,0.3,0
Smartphone,Pune/Nashik,4,4.34,4.9,0.61,0.59,0.58,Low,Annual,3.81,0.0,1
Motherboard,Konkan/Mumbai,8,0.49,4.9,0.47,0.76,0.67,Medium,Rare,4.75,4.26,0
Computer,Pune/Nashik,6,0.71,4.4,0.68,0.66,0.47,Medium,Rare,4.15,3.44,0
Keyboard,Pune/Nashik,4,2.13,4.1,0.67,0.52,0.65,High,Rare,2.98,0.85,0
Router / Switch,Vidarbha/Marathwada,6,0.94,6.8,0.94,0.38,0.75,Medium,Annual,4.64,3.7,0
Keyboard,Pune/Nashik,4,1.74,7.5,0.46,0.46,0.49,High,Biannual,3.65,1.91,0
Hard Disk / SSD,Pune/Nashik,5,0.64,3.3,0.48,0.42,0.6,Medium,Biannual,5.01,4.37,0
Computer,Vidarbha/Marathwada,6,0.75,2.5,0.61,0.44,0.83,High,Rare,4.1,3.35,0
Motherboard,Vidarbha/Marathwada,8,0.97,7.5,0.65,0.42,0.71,Medium,Rare,4.53,3.56,0
Keyboard,Pune/Nashik,4,2.01,5.7,0.68,0.52,0.43,Medium,Annual,3.36,1.35,0
Monitor,Vidarbha/Marathwada,7,7.2,3.3,0.76,0.25,0.77,Medium,Annual,7.77,0.57,0
Router / Switch,Konkan/Mumbai,6,0.64,5.8,0.51,1.0,0.72,Medium,Rare,4.08,3.44,0
Projector,Pune/Nashik,5,3.34,2.0,0.55,0.69,0.42,Medium,Rare,3.74,0.4,0
Projector,Pune/Nashik,5,1.98,5.8,0.59,0.58,0.51,Low,Rare,3.78,1.8,0
Keyboard,Konkan/Mumbai,4,0.5,2.7,0.36,0.78,0.76,Medium,Rare,3.79,3.29,0
Monitor,Vidarbha/Marathwada,7,2.39,6.4,0.88,0.28,0.94,High,Annual,6.48,4.09,0
Mouse,Pune/Nashik,3,0.02,4.7,0.61,0.41,0.67,High,Rare,2.09,2.07,0
Projector,Vidarbha/Marathwada,5,1.83,8.7,0.95,0.44,0.88,Low,Annual,3.61,1.78,0
Monitor,Pune/Nashik,7,3.45,7.9,0.69,0.48,0.55,Low,Rare,4.4,0.95,0
Hard Disk / SSD,Pune/Nashik,5,0.99,7.9,0.45,0.51,0.44,Medium,Rare,2.67,1.68,0
Computer,Vidarbha/Marathwada,6,3.86,8.7,0.77,0.35,0.94,High,Biannual,3.66,0.0,1
Monitor,Pune/Nashik,7,5.36,9.0,0.61,0.57,0.45,Low,Rare,4.37,0.0,1
Computer,Konkan/Mumbai,6,2.75,9.1,0.53,0.94,0.76,Medium,Annual,3.82,1.07,0
Hard Disk / SSD,Konkan/Mumbai,5,2.38,5.8,0.54,0.8,0.63,Medium,Annual,4.07,1.69,0
Keyboard,Pune/Nashik,4,1.63,3.0,0.52,0.5,0.58,Medium,Biannual,4.77,3.14,0
Printer,Konkan/Mumbai,5,1.22,3.2,0.45,0.87,0.52,High,Rare,3.62,2.4,0
Computer,Konkan/Mumbai,6,2.83,5.6,0.47,0.89,0.79,Medium,Rare,3.42,0.59,0
Monitor,Pune/Nashik,7,4.47,4.3,0.56,0.59,0.41,Low,Rare,5.82,1.35,0
Projector,Vidarbha/Marathwada,5,3.15,2.8,0.71,0.22,0.7,High,Rare,3.92,0.77,0
Router / Switch,Pune/Nashik,6,3.47,9.7,0.63,0.49,0.52,Low,Rare,3.76,0.29,0
Router / Switch,Konkan/Mumbai,6,5.23,5.3,0.56,0.81,0.79,Low,Rare,4.89,0.0,1
Mouse,Vidarbha/Marathwada,3,3.13,2.8,0.79,0.25,0.8,Low,Biannual,3.6,0.47,0
Mouse,Konkan/Mumbai,3,0.94,7.3,0.47,0.76,0.77,Medium,Rare,2.09,1.15,0
Hard Disk / SSD,Vidarbha/Marathwada,5,2.92,8.3,0.88,0.32,0.8,Medium,Rare,2.95,0.03,0
Printer,Konkan/Mumbai,5,5.3,4.6,0.34,0.8,0.7,Medium,Biannual,5.36,0.06,0
Monitor,Vidarbha/Marathwada,7,3.23,2.2,0.9,0.43,0.8,Medium,Biannual,8.4,5.17,0
Computer,Pune/Nashik,6,4.45,7.7,0.52,0.67,0.4,Medium,Annual,4.14,0.0,1
Computer,Vidarbha/Marathwada,6,0.66,6.4,0.65,0.44,0.89,High,Annual,3.61,2.95,0
Mouse,Pune/Nashik,3,1.66,3.6,0.43,0.66,0.44,Medium,Biannual,3.18,1.52,0
Projector,Pune/Nashik,5,2.27,3.6,0.59,0.55,0.69,Medium,Annual,4.61,2.34,0
Printer,Vidarbha/Marathwada,5,5.65,4.9,0.94,0.23,0.94,High,Annual,5.02,0.0,1
Motherboard,Konkan/Mumbai,8,1.5,6.1,0.56,0.88,0.63,High,Rare,3.7,2.2,0
Motherboard,Vidarbha/Marathwada,8,3.26,7.5,0.86,0.21,0.91,Medium,Rare,4.32,1.06,0
Motherboard,Vidarbha/Marathwada,8,1.37,8.3,0.79,0.28,0.76,Medium,Rare,3.89,2.52,0
Motherboard,Pune/Nashik,8,3.63,5.1,0.58,0.48,0.56,Low,Rare,5.66,2.03,0
Mouse,Konkan/Mumbai,3,3.38,3.0,0.39,0.81,0.56,Medium,Rare,2.44,0.0,1
Printer,Pune/Nashik,5,0.09,6.9,0.66,0.54,0.48,High,Rare,3.49,3.4,0
Monitor,Vidarbha/Marathwada,7,2.5,7.5,0.9,0.27,0.89,Medium,Rare,4.69,2.19,0
Motherboard,Vidarbha/Marathwada,8,3.3,7.7,0.75,0.47,1.0,High,Annual,4.47,1.17,0
Keyboard,Vidarbha/Marathwada,4,1.86,3.8,0.91,0.37,0.83,Low,Biannual,4.8,2.94,0
Keyboard,Konkan/Mumbai,4,1.25,3.1,0.34,0.87,0.59,High,Annual,3.9,2.65,0
Motherboard,Konkan/Mumbai,8,4.04,3.0,0.38,1.0,0.64,Medium,Annual,6.27,2.23,0
Printer,Pune/Nashik,5,0.7,8.7,0.55,0.64,0.4,High,Annual,3.64,2.94,0
Router / Switch,Pune/Nashik,6,2.35,7.2,0.6,0.66,0.69,Medium,Biannual,5.12,2.77,0
Mouse,Vidarbha/Marathwada,3,1.82,6.6,0.65,0.36,0.77,Medium,Rare,2.12,0.3,0
Mouse,Pune/Nashik,3,1.86,9.0,0.52,0.64,0.7,High,Rare,1.77,0.0,1
Monitor,Pune/Nashik,7,5.36,4.5,0.65,0.52,0.49,Medium,Annual,6.3,0.94,0
Keyboard,Pune/Nashik,4,1.61,7.4,0.64,0.53,0.59,High,Rare,2.48,0.87,0
Projector,Pune/Nashik,5,0.46,6.0,0.69,0.67,0.41,High,Rare,3.26,2.8,0
Keyboard,Vidarbha/Marathwada,4,1.14,8.1,0.84,0.37,0.96,Medium,Annual,3.19,2.05,0
Computer,Pune/Nashik,6,3.96,3.5,0.62,0.4,0.6,Medium,Rare,4.24,0.28,0
Projector,Konkan/Mumbai,5,0.14,2.9,0.41,0.85,0.68,High,Rare,3.67,3.53,0
Printer,Pune/Nashik,5,4.61,6.0,0.56,0.62,0.63,Medium,Rare,3.99,0.0,1
Hard Disk / SSD,Konkan/Mumbai,5,1.47,2.7,0.36,0.84,0.78,Medium,Rare,3.73,2.26,0
Keyboard,Konkan/Mumbai,4,3.4,6.1,0.53,0.75,0.52,Medium,Annual,3.29,0.0,1
Mouse,Vidarbha/Marathwada,3,3.58,4.6,0.72,0.21,0.91,High,Annual,3.04,0.0,1
Motherboard,Konkan/Mumbai,8,3.6,9.9,0.48,0.89,0.65,Medium,Rare,3.58,0.0,1
Hard Disk / SSD,Vidarbha/Marathwada,5,4.86,6.9,0.78,0.33,0.73,Low,Biannual,4.76,0.0,1
Hard Disk / SSD,Vidarbha/Marathwada,5,1.78,9.4,0.8,0.48,0.76,High,Biannual,3.08,1.3,0
Computer,Konkan/Mumbai,6,3.73,5.8,0.54,0.95,0.61,Medium,Annual,4.33,0.6,0
Router / Switch,Pune/Nashik,6,0.59,6.8,0.56,0.63,0.68,High,Rare,3.08,2.49,0
Printer,Pune/Nashik,5,5.12,4.2,0.62,0.46,0.43,Medium,Annual,5.18,0.06,0
Keyboard,Konkan/Mumbai,4,2.51,6.1,0.54,0.77,0.65,Medium,Rare,2.84,0.33,0
Smartphone,Vidarbha/Marathwada,4,1.01,4.9,0.79,0.46,0.75,High,Rare,2.78,1.77,0
Monitor,Vidarbha/Marathwada,7,0.31,6.9,0.6,0.21,1.0,Medium,Rare,5.11,4.8,0
Keyboard,Pune/Nashik,4,1.5,8.5,0.66,0.48,0.49,Low,Rare,2.51,1.01,0
Router / Switch,Pune/Nashik,6,0.34,5.9,0.53,0.44,0.4,High,Rare,3.58,3.24,0
Keyboard,Konkan/Mumbai,4,4.82,5.0,0.44,0.95,0.6,Low,Biannual,4.53,0.0,1
Hard Disk / SSD,Pune/Nashik,5,3.2,6.6,0.48,0.64,0.53,Medium,Biannual,4.16,0.96,0
Router / Switch,Vidarbha/Marathwada,6,1.3,4.3,0.87,0.47,0.75,High,Annual,4.58,3.28,0
Keyboard,Konkan/Mumbai,4,2.3,7.2,0.33,1.0,0.69,High,Annual,3.47,1.17,0
Hard Disk / SSD,Vidarbha/Marathwada,5,3.04,5.1,0.95,0.3,0.73,High,Annual,3.36,0.32,0
Motherboard,Konkan/Mumbai,8,2.63,8.5,0.45,0.97,0.75,Medium,Rare,3.86,1.23,0
Motherboard,Vidarbha/Marathwada,8,2.45,2.3,0.88,0.38,0.96,Medium,Rare,4.58,2.13,0
Router / Switch,Pune/Nashik,6,2.04,9.4,0.47,0.64,0.42,High,Rare,2.85,0.81,0
Computer,Konkan/Mumbai,6,2.47,6.9,0.51,0.8,0.76,Medium,Rare,3.17,0.7,0
Motherboard,Konkan/Mumbai,8,5.6,3.0,0.41,0.85,0.7,High,Annual,5.99,0.39,0
Hard Disk / SSD,Pune/Nashik,5,5.06,2.5,0.49,0.58,0.66,Medium,Annual,4.81,0.0,1
Smartphone,Vidarbha/Marathwada,4,0.49,8.7,0.9,0.35,0.88,Medium,Biannual,3.53,3.04,0
Keyboard,Konkan/Mumbai,4,1.69,2.2,0.49,0.77,0.72,High,Rare,3.42,1.73,0
Projector,Konkan/Mumbai,5,3.83,6.5,0.44,0.76,0.79,Low,Rare,3.67,0.0,1
Computer,Pune/Nashik,6,1.94,5.2,0.48,0.66,0.42,Medium,Annual,4.38,2.44,0
Computer,Vidarbha/Marathwada,6,2.87,5.4,0.94,0.36,0.89,High,Annual,3.6,0.73,0
Keyboard,Vidarbha/Marathwada,4,1.63,8.9,0.62,0.44,0.99,High,Annual,3.1,1.47,0
Computer,Konkan/Mumbai,6,2.57,5.2,0.55,0.85,0.7,Medium,Rare,3.61,1.04,0
Printer,Vidarbha/Marathwada,5,5.28,6.6,0.67,0.39,0.82,Medium,Annual,4.68,0.0,1
Computer,Pune/Nashik,6,2.03,7.0,0.67,0.61,0.57,High,Rare,3.0,0.97,0
Motherboard,Konkan/Mumbai,8,1.52,8.7,0.51,0.88,0.77,Medium,Rare,3.57,2.05,0
Mouse,Pune/Nashik,3,1.46,2.8,0.66,0.47,0.48,High,Rare,2.59,1.13,0
Hard Disk / SSD,Pune/Nashik,5,2.87,6.3,0.55,0.47,0.53,Medium,Annual,3.98,1.11,0
Hard Disk / SSD,Pune/Nashik,5,3.06,9.5,0.55,0.58,0.51,High,Rare,2.17,0.0,1
Hard Disk / SSD,Konkan/Mumbai,5,1.09,6.4,0.52,0.96,0.61,Medium,Rare,2.9,1.81,0
Projector,Vidarbha/Marathwada,5,0.52,10.0,0.92,0.39,0.94,Medium,Rare,2.49,1.97,0
Printer,Konkan/Mumbai,5,1.97,3.7,0.4,0.96,0.61,Medium,Annual,5.25,3.28,0
Projector,Pune/Nashik,5,3.88,7.9,0.59,0.47,0.48,High,Annual,3.73,0.0,1
Mouse,Vidarbha/Marathwada,3,1.14,3.9,0.85,0.25,1.0,Low,Rare,2.72,1.58,0
Printer,Vidarbha/Marathwada,5,5.08,5.1,0.63,0.23,0.88,Low,Rare,4.23,0.0,1
Hard Disk / SSD,Pune/Nashik,5,1.56,5.8,0.69,0.56,0.44,Medium,Annual,4.28,2.72,0
Mouse,Vidarbha/Marathwada,3,0.35,3.7,0.93,0.47,0.73,Medium,Rare,2.57,2.22,0
Keyboard,Konkan/Mumbai,4,0.17,9.2,0.38,0.89,0.7,High,Annual,2.78,2.61,0
Router / Switch,Konkan/Mumbai,6,1.53,3.7,0.55,0.71,0.5,High,Biannual,5.41,3.88,0
Keyboard,Vidarbha/Marathwada,4,1.11,4.1,0.92,0.26,0.98,Medium,Rare,3.09,1.98,0
Keyboard,Vidarbha/Marathwada,4,0.27,2.2,0.77,0.41,0.84,Low,Biannual,4.43,4.16,0
Router / Switch,Vidarbha/Marathwada,6,2.77,5.2,0.82,0.31,0.72,High,Annual,4.24,1.47,0
Keyboard,Konkan/Mumbai,4,0.59,4.2,0.33,0.95,0.74,High,Rare,3.17,2.58,0
Motherboard,Pune/Nashik,8,4.45,7.6,0.62,0.57,0.42,Medium,Rare,4.02,0.0,1
Keyboard,Konkan/Mumbai,4,0.52,6.4,0.5,0.77,0.62,High,Rare,2.67,2.15,0
Computer,Pune/Nashik,6,6.02,2.3,0.54,0.48,0.7,Low,Biannual,6.27,0.25,0
Smartphone,Pune/Nashik,4,3.4,4.3,0.41,0.69,0.56,Medium,Rare,3.04,0.0,1
Monitor,Pune/Nashik,7,5.34,5.1,0.56,0.66,0.4,High,Biannual,6.24,0.9,0
Monitor,Vidarbha/Marathwada,7,6.14,2.8,0.93,0.45,0.87,Medium,Rare,5.57,0.0,1
Monitor,Vidarbha/Marathwada,7,5.15,2.6,0.66,0.21,0.94,Medium,Rare,6.01,0.86,0
Router / Switch,Vidarbha/Marathwada,6,4.51,4.9,0.74,0.4,0.91,Medium,Annual,5.83,1.32,0
Monitor,Pune/Nashik,7,5.47,7.3,0.48,0.44,0.5,Medium,Annual,6.02,0.55,0
Mouse,Vidarbha/Marathwada,3,3.16,5.8,0.64,0.21,0.99,High,Rare,2.27,0.0,1
Projector,Konkan/Mumbai,5,3.6,7.2,0.49,0.98,0.65,High,Annual,3.68,0.08,0
Mouse,Pune/Nashik,3,1.72,4.0,0.5,0.42,0.64,High,Rare,2.15,0.43,0
Projector,Konkan/Mumbai,5,4.13,2.5,0.33,0.76,0.78,Medium,Rare,4.32,0.19,0
Printer,Vidarbha/Marathwada,5,4.12,9.5,0.78,0.3,0.89,Medium,Annual,3.29,0.0,1
Printer,Konkan/Mumbai,5,0.36,9.1,0.58,0.79,0.65,Medium,Annual,3.98,3.62,0
Computer,Vidarbha/Marathwada,6,1.91,4.2,0.81,0.41,0.74,High,Rare,3.66,1.75,0
Projector,Konkan/Mumbai,5,1.9,5.1,0.37,0.8,0.78,High,Rare,3.74,1.84,0
Motherboard,Vidarbha/Marathwada,8,0.31,6.4,0.86,0.39,0.78,Medium,Annual,5.3,4.99,0
Keyboard,Pune/Nashik,4,0.14,8.6,0.59,0.59,0.54,Low,Annual,3.35,3.21,0
Motherboard,Vidarbha/Marathwada,8,0.41,3.1,0.85,0.43,0.84,High,Rare,4.16,3.75,0
Mouse,Vidarbha/Marathwada,3,1.43,4.4,0.94,0.43,0.92,High,Rare,2.36,0.93,0
Smartphone,Pune/Nashik,4,3.81,2.0,0.69,0.63,0.58,High,Rare,3.54,0.0,1
Printer,Vidarbha/Marathwada,5,2.39,7.2,0.68,0.45,0.95,Medium,Rare,3.67,1.28,0
Keyboard,Pune/Nashik,4,2.56,2.5,0.52,0.67,0.41,Low,Rare,3.86,1.3,0
Projector,Konkan/Mumbai,5,3.89,3.4,0.5,0.73,0.65,Medium,Biannual,5.07,1.18,0
Printer,Konkan/Mumbai,5,1.44,9.1,0.59,0.98,0.74,Medium,Biannual,4.28,2.84,0
Printer,Vidarbha/Marathwada,5,1.23,4.7,0.84,0.31,0.73,Low,Biannual,5.09,3.86,0
Mouse,Konkan/Mumbai,3,1.15,6.2,0.49,0.75,0.79,High,Rare,2.31,1.16,0
Printer,Pune/Nashik,5,4.31,5.2,0.42,0.65,0.41,Medium,Rare,3.55,0.0,1
Motherboard,Pune/Nashik,8,3.97,7.8,0.45,0.65,0.54,High,Rare,3.64,0.0,1
Monitor,Vidarbha/Marathwada,7,4.05,2.8,0.66,0.32,0.84,Medium,Biannual,8.4,4.35,0
Mouse,Vidarbha/Marathwada,3,0.81,3.0,0.79,0.22,0.83,Medium,Rare,2.62,1.81,0
Printer,Pune/Nashik,5,4.38,5.4,0.48,0.48,0.57,Medium,Rare,3.88,0.0,1
Computer,Konkan/Mumbai,6,0.11,5.8,0.47,0.71,0.71,Medium,Rare,3.6,3.49,0
Motherboard,Vidarbha/Marathwada,8,1.95,5.4,0.8,0.28,0.82,Medium,Annual,6.03,4.08,0
Keyboard,Pune/Nashik,4,1.26,7.8,0.56,0.47,0.64,Medium,Annual,3.31,2.05,0
Motherboard,Konkan/Mumbai,8,4.46,5.4,0.58,0.85,0.54,Medium,Rare,4.67,0.21,0
Hard Disk / SSD,Pune/Nashik,5,0.59,6.3,0.46,0.67,0.62,High,Rare,2.89,2.3,0
Projector,Vidarbha/Marathwada,5,0.57,4.0,0.61,0.42,0.97,Low,Biannual,4.67,4.1,0
Motherboard,Pune/Nashik,8,1.39,5.8,0.42,0.62,0.5,Low,Rare,5.3,3.91,0
Printer,Vidarbha/Marathwada,5,4.41,5.6,0.72,0.27,0.71,Low,Biannual,5.37,0.96,0
Monitor,Vidarbha/Marathwada,7,1.78,3.9,0.65,0.31,0.88,Medium,Rare,5.54,3.76,0
Projector,Konkan/Mumbai,5,0.76,6.3,0.45,0.72,0.74,Medium,Biannual,4.22,3.46,0
Mouse,Vidarbha/Marathwada,3,1.15,9.6,0.8,0.27,0.8,Medium,Annual,2.17,1.02,0
Hard Disk / SSD,Konkan/Mumbai,5,2.18,3.0,0.49,0.99,0.62,Low,Rare,3.72,1.54,0
Hard Disk / SSD,Pune/Nashik,5,2.01,7.9,0.58,0.54,0.58,High,Annual,3.15,1.14,0
Motherboard,Vidarbha/Marathwada,8,3.31,10.0,0.79,0.21,0.71,Low,Rare,3.84,0.53,0
Smartphone,Pune/Nashik,4,4.87,2.3,0.51,0.63,0.61,Medium,Annual,4.75,0.0,1
Router / Switch,Vidarbha/Marathwada,6,4.07,3.8,0.64,0.38,0.9,Medium,Rare,4.64,0.57,0
Printer,Pune/Nashik,5,4.34,4.3,0.67,0.58,0.5,Medium,Annual,4.96,0.62,0
Router / Switch,Konkan/Mumbai,6,2.9,9.9,0.44,0.74,0.55,Low,Rare,3.34,0.44,0
Hard Disk / SSD,Vidarbha/Marathwada,5,0.83,4.1,0.94,0.42,0.73,High,Rare,3.29,2.46,0
Monitor,Vidarbha/Marathwada,7,0.05,6.4,0.84,0.33,0.79,Medium,Rare,4.89,4.84,0
Motherboard,Konkan/Mumbai,8,1.44,9.2,0.58,0.76,0.78,Medium,Biannual,4.51,3.07,0
Monitor,Konkan/Mumbai,7,6.91,3.3,0.47,0.91,0.71,Low,Annual,7.97,1.06,0
Router / Switch,Vidarbha/Marathwada,6,3.64,8.0,0.65,0.27,0.76,High,Rare,2.76,0.0,1
Keyboard,Pune/Nashik,4,3.19,9.8,0.42,0.51,0.48,High,Annual,2.68,0.0,1
